,Unnamed: 0,Unnamed: 0.1,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date,total_pronouns,female_mentions,male_mentions,total,male_skewness,male_skewness_log
491,491,491,PG17286_text,"Indian Linguistic Families of America, North of Mexico: Seventh Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1885-1886, Government Printing Office, Washington, 1891, pages 1-142","Powell, John Wesley",1834.0,1902.0,['en'],131,"{'Indians of North America -- Languages -- Bibliography', 'Indians of North America -- Languages'}",john,M,1884,1437,1,256,257,256.0,5.545177444479562
492,492,492,PG17287_text,History of France,"Yonge, Charlotte M. (Charlotte Mary)",1823.0,1901.0,['en'],117,{'France -- History'},charlotte,F,1873,1762,99,852,951,8.606060606060606,2.1524666766947256
493,493,493,PG17288_text,"Herzegovina; Or, Omer Pacha and the Christian Rebels","Arbuthnot, George",1836.0,1912.0,['en'],17,"{'Serbia', 'Hercegovina (Bosnia and Hercegovina) -- History'}",george,M,1886,4035,150,860,1010,5.733333333333333,1.7462970951512977
494,494,494,PG17290_text,The Wonders of Pompeii,"Monnier, Marc",1827.0,1885.0,['en'],64,{'Pompeii (Extinct city)'},marc,M,1877,3172,159,395,554,2.4842767295597485,0.9099815626808904
495,495,495,PG17291_text,The Luck of Thirteen: Wanderings and Flight through Montenegro and Serbia,"Gordon, Cora",1879.0,1950.0,['en'],21,"{'Serbia -- Description and travel', 'Montenegro -- Description and travel', 'World War, 1914-1918 -- Personal narratives'}",cora,F,1929,7961,489,1555,2044,3.179959100204499,1.1568683351384625
496,496,496,PG17293_text,Frédéric Mistral: Poet and Leader in Provence,"Downer, Charles Alfred",1866.0,1930.0,['en'],105,"{'Poets, Occitan -- 19th century -- Biography', 'Mistral, Frédéric, 1830-1914', 'Lexicographers -- France -- Biography', 'Provence (France) -- Biography'}",charles,M,1916,3555,365,964,1329,2.6410958904109587,0.971193941028054
497,497,497,PG1729_text,The Deserted Woman,"Balzac, Honoré de",1799.0,1850.0,['en'],44,"{'Man-woman relationships -- Fiction', 'Historical fiction', 'French fiction -- Translations into English'}",honor,F,1849,2085,360,442,802,1.2277777777777779,0.20520585062754249
498,498,498,PG1731_text,Sister Songs: An Offering to Two Sisters,"Thompson, Francis",1859.0,1907.0,['en'],39,{'English poetry'},francis,M,1909,831,67,64,131,0.9552238805970149,-0.04580953603129422
499,499,499,PG17320_text,"Political and Literary essays, 1908-1913","Cromer, Evelyn Baring, Earl of",1841.0,1917.0,['en'],92,"{'Literature', 'History', 'Colonization', 'Colonies'}",evelyn,F,1891,5631,183,1613,1796,8.814207650273223,2.1763649252837878
500,500,500,PG1732_text,"The Schoolmistress, and Other Stories","Chekhov, Anton Pavlovich",1860.0,1904.0,['en'],741,"{'Short stories', 'Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English', 'Russia -- Social life and customs -- Fiction'}",anton,M,1910,8183,659,2414,3073,3.6631259484066767,1.2983168671549696
501,501,501,PG1733_text,The Red Cross Girl,"Davis, Richard Harding",1864.0,1916.0,['en'],58,{'United States -- Social life and customs -- Fiction'},richard,M,1914,9412,840,3503,4343,4.170238095238095,1.4279731313601274
502,502,502,PG1741_text,The White Moll,"Packard, Frank L. (Frank Lucius)",1877.0,1942.0,['en'],25,"{'Gangsters -- New York (State) -- New York -- Fiction', 'Mystery fiction'}",frank,M,1927,12527,4353,1781,6134,0.4091431196875718,-0.8936902582626359
503,503,503,PG17451_text,"Sign Language Among North American Indians Compared With That Among Other Peoples And Deaf-Mutes: First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-1880, Government Printing Office, Washington, 1881, pages 263-552","Mallery, Garrick",1831.0,1894.0,['en'],151,"{'Deaf -- Means of communication', 'Indian sign language', 'Sign language'}",garrick,M,1881,4707,132,1002,1134,7.590909090909091,2.026951359058439
504,504,504,PG17452_text,Adventures in Criticism,"Quiller-Couch, Arthur",1863.0,1944.0,['en'],49,"{'Literature, Modern -- History and criticism'}",arthur,M,1913,7238,243,2040,2283,8.395061728395062,2.1276436434977133
505,505,505,PG1746_text,New Collected Rhymes,"Lang, Andrew",1844.0,1912.0,['en'],31,{'English poetry'},andrew,M,1894,878,94,153,247,1.627659574468085,0.48714313912243157
506,506,506,PG1747_text,The Red Seal,"Lincoln, Natalie Sumner",1881.0,1935.0,['en'],25,{'Fiction'},natalie,F,1931,6973,1114,2309,3423,2.0727109515260325,0.728857388867266
507,507,507,PG1748_text,Other People's Money,"Gaboriau, Emile",1832.0,1873.0,['en'],60,"{'Fiction', 'Detective and mystery stories'}",emile,M,1882,21711,3334,5898,9232,1.7690461907618475,0.5704405260644823
508,508,508,PG1749_text,Cousin Betty,"Balzac, Honoré de",1799.0,1850.0,['en'],210,"{'Paris (France) -- Social life and customs -- 19th century -- Fiction', 'Didactic fiction', 'French fiction -- Translations into English'}",honor,F,1849,19927,3676,3836,7512,1.043525571273123,0.042604952527751275
509,509,509,PG174_text,The Picture of Dorian Gray,"Wilde, Oscar",1854.0,1900.0,['en'],22056,"{'Paranormal fiction', 'Appearance (Philosophy) -- Fiction', 'Didactic fiction', 'Conduct of life -- Fiction', 'Supernatural -- Fiction', 'Portraits -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction'}",oscar,M,1904,12856,890,3301,4191,3.708988764044944,1.3107592691270074
