,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
9277,9277,PG64615_text,Honor Bright: A Story of the Days of King Charles,"Rowsell, Mary C. (Mary Catherine)",1839.0,1921.0,['en'],1,"{'Conduct of life -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Charles II, King of England, 1630-1685 -- Juvenile fiction', 'Education of princes -- Juvenile fiction'}",mary,F,1889
9278,9278,PG6461_text,Facing the World,"Alger, Horatio, Jr.",1832.0,1899.0,['en'],42,"{'Conduct of life -- Juvenile fiction', 'Heroes -- Juvenile fiction', 'Shipwrecks -- Juvenile fiction', 'Orphans -- Juvenile fiction'}",horatio,M,1882
9279,9279,PG64620_text,"Granada and the Alhambra: A brief description of the ancient city of Granada, with a particular account of the Moorish palace","Calvert, Albert Frederick",1872.0,1946.0,['en'],29,"{'Granada (Spain) -- Description and travel', 'Alhambra (Granada, Spain)', 'Art -- Spain -- Granada'}",albert,M,1922
9280,9280,PG64621_text,"Josiah Allen's Wife as a P. A. and P. I.: Samantha at the Centennial.: Designed As a Bright and Shining Light, to Pierce the Fogs of Error and Injustice That Surround Society and Josiah, and to Bring More Clearly to View the Path That Leads Straight on to Virtue and Happiness.","Holley, Marietta",1836.0,1926.0,['en'],97,"{'Conduct of life -- Fiction', 'Husband and wife -- Fiction', 'Debates and debating -- Fiction', ""Women's rights -- Fiction"", 'Centennial Exhibition (1876 : Philadelphia, Pa.) -- Fiction', 'Humorous stories'}",marietta,F,1886
9281,9281,PG64624_text,Lady Into Hell-Cat,"Mullen, Stanley",1911.0,1974.0,['en'],8,"{'Adventure stories', 'Man-woman relationships -- Fiction', 'Short stories', 'Ganymede (Satellite) -- Fiction', 'Science fiction'}",stanley,M,1961
9282,9282,PG64625_text,Sidewinders From Sirius,"Holden, Fox B.",1923.0,,['en'],13,"{'Weapons -- Fiction', 'Short stories', 'Human-alien encounters -- Fiction', 'Science fiction'}",fox,M,1973
9283,9283,PG64629_text,Sticks and Stones: A Study of American Architecture and Civilization,"Mumford, Lewis",1895.0,1990.0,['en'],26,{'Architecture -- United States'},lewis,M,1945
9284,9284,PG64630_text,Against the Stone Beasts,"Blish, James",1921.0,1975.0,['en'],51,"{'Adventure stories', 'Science fiction', 'Time travel -- Fiction'}",james,M,1971
9285,9285,PG64631_text,Let the Ants Try,"Pohl, Frederik",1919.0,2013.0,['en'],59,"{'Detroit (Mich.) -- Fiction', 'Time travel -- Fiction', 'Short stories', 'Science fiction', 'Scientists -- Fiction', 'Apocalyptic fiction', 'Inventions -- Fiction'}",frederik,M,1969
9286,9286,PG64632_text,Cargo to Callisto,"Bixby, Jerome",1923.0,1998.0,['en'],20,"{'Human-alien encounters -- Fiction', 'Short stories', 'Escaped prisoners -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction'}",jerome,M,1973
9287,9287,PG64633_text,The Ways of War,"Kettle, Tom",1880.0,1916.0,['en'],30,"{'World War, 1914-1918'}",tom,M,1930
9288,9288,PG64634_text,Labyrinth,"Hull, Helen R. (Helen Rose)",1888.0,1971.0,['en'],28,"{'Married women -- Fiction', 'Mothers -- Fiction', 'Women -- Employment -- Fiction', 'Families -- Fiction', 'United States -- Fiction'}",helen,F,1938
9289,9289,PG64635_text,"Frank Merriwell's First Job; Or, At the Foot of the Ladder","Standish, Burt L.",1866.0,1945.0,['en'],9,"{'Railroads -- Employees -- Juvenile fiction', 'Adventure stories', 'Dime novels', 'Merriwell, Frank (Fictitious character) -- Juvenile fiction'}",burt,M,1916
9290,9290,PG64636_text,Rip Van Winkle,"Irving, Washington",1783.0,1859.0,['en'],182,"{'Hudson River (N.Y. and N.J.) -- Fiction', 'New York (State) -- History -- 1775-1865 -- Fiction', 'Fantasy fiction', 'Catskill Mountains Region (N.Y.) -- History -- 18th century -- Fiction', 'Van Winkle, Rip (Fictitious character) -- Fiction'}",washington,M,1833
9291,9291,PG64637_text,Doomsday 257 A.G.!,"Walton, Bryce",1918.0,1988.0,['en'],17,"{'Adventure stories', 'Revolutions -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction'}",bryce,M,1968
9292,9292,PG64638_text,"The Irish Guards in the Great War, Volume 1 (of 2). The First Battalion","Kipling, Rudyard",1865.0,1936.0,['en'],35,"{'World War, 1914-1918 -- Regimental histories -- Great Britain', 'Great Britain. Army. Irish Guards -- History'}",rudyard,M,1915
9293,9293,PG64640_text,Machine of Klamugra,"Lang, Allen Kim",1928.0,,['en'],14,"{'Short stories', 'Mars (Planet) -- Fiction', 'Science fiction', 'Trials -- Fiction'}",allen,M,1978
9294,9294,PG64641_text,Oh Mesmerist From Mimas!,"Aycock, Roger D.",1914.0,2004.0,['en'],20,"{'Human-alien encounters -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction'}",roger,M,1964
9295,9295,PG64642_text,"Frontier Humor in Verse, Prose and Picture","Cox, Palmer",1840.0,1924.0,['en'],16,{'Canadian wit and humor'},palmer,M,1890
9296,9296,PG64644_text,The Outcasts of Solar III,"McDowell, Robert Emmett",1914.0,1975.0,['en'],8,"{'Adventure stories', 'Science fiction'}",robert,M,1964
9297,9297,PG64647_text,Flight From Time,"Coppel, Alfred",1921.0,2004.0,['en'],17,"{'Time -- Fiction', 'Thieves -- Fiction', 'Short stories', 'Space travelers -- Fiction', 'Science fiction'}",alfred,M,1971
9298,9298,PG64648_text,The Green Dream,"Walton, Bryce",1918.0,1988.0,['en'],11,"{'Revenge -- Fiction', 'Short stories', 'Nightmares -- Fiction', 'Science fiction', 'Venus (Planet) -- Fiction'}",bryce,M,1968
